match_id,season,date,gameweek,home_team,away_team,is_home,home_aerial_duels_lost,home_carries,home_carries_final_third,home_carries_penalty_area,home_carry_distance,home_completed_passes_types,home_corner_kicks,home_crosses_faced,home_goal_kick_launch_percentage,home_goal_kicks_attempted,home_goalkeeper_long_passes_attempted,home_key_passes,home_launch_percentage,home_live_ball_passes,home_long_pass_completion_rate,home_medium_passes_attempted,home_medium_passes_completed,home_pass_completion_rate,home_passes_attempted,home_passes_completed,home_passes_final_third,home_passes_penalty_area,home_passes_received,home_progressive_carries,home_progressive_carry_distance,home_progressive_pass_distance,home_progressive_passes,home_progressive_passes_received_detail,home_sca_pass_dead,home_sca_pass_live,home_sca_shot,home_sca_take_on,home_short_pass_completion_rate,home_short_passes_attempted,home_short_passes_completed,home_shot_creating_actions_per_90,home_shots_on_target_per_90,home_shots_per_90,home_through_balls,home_total_pass_distance,home_touches,home_touches_att_penalty,home_touches_att_third,home_touches_live_ball,home_touches_mid_third,away_aerial_duels_lost,away_carries,away_carries_final_third,away_carries_penalty_area,away_carry_distance,away_completed_passes_types,away_corner_kicks,away_crosses_faced,away_goal_kick_launch_percentage,away_goal_kicks_attempted,away_goalkeeper_long_passes_attempted,away_key_passes,away_launch_percentage,away_live_ball_passes,away_long_pass_completion_rate,away_medium_passes_attempted,away_medium_passes_completed,away_pass_completion_rate,away_passes_attempted,away_passes_completed,away_passes_final_third,away_passes_penalty_area,away_passes_received,away_progressive_carries,away_progressive_carry_distance,away_progressive_pass_distance,away_progressive_passes,away_progressive_passes_received_detail,away_sca_pass_dead,away_sca_pass_live,away_sca_shot,away_sca_take_on,away_short_pass_completion_rate,away_short_passes_attempted,away_short_passes_completed,away_shot_creating_actions_per_90,away_shots_on_target_per_90,away_shots_per_90,away_through_balls,away_total_pass_distance,away_touches,away_touches_att_penalty,away_touches_att_third,away_touches_live_ball,away_touches_mid_third,home_shot_accuracy,away_shot_accuracy,home_sca_per_shot,away_sca_per_shot,home_carry_efficiency,away_carry_efficiency,match_outcome,home_goals,away_goals,attack_advantage,sca_differential,home_tier_Mid-Table,home_tier_Relegation,home_tier_Top 4,away_tier_Mid-Table,away_tier_Relegation,away_tier_Top 4
2020-2021_GW3_WestBrom_vs_Chelsea,2020-2021,2020-09-26,3.0,West Brom,Chelsea,1,771,8262,283,103,44784,9769,144,670,86.7,308,916,241,63.7,12147,43.5,4783,3696,69.9,13978,9769,822,196,9668,441,21527,75746,1027,1017,60,407,27,26,83.7,5278,4418,14.95,2.79,8.82,13,177501,18248,578,4238,18243,7517,515,17523,663,243,90661,21969,226,412,27.7,231,253,448,17.7,24055,61.7,9976,8965,85.2,25799,21969,1441,377,21851,895,48291,112392,1798,1787,81,790,55,42,91.3,11454,10454,26.79,5.08,14.37,29,360450,29889,1017,7308,29879,13917,0.3164179104477612,0.3534798534798535,1.6955223880597015,1.8644688644688645,0.05337690631808279,0.051075729041830734,Draw,3.0,3.0,-2.29,-11.84,0,1,0,0,0,1
2020-2021_GW3_Burnley_vs_Southampto,2020-2021,2020-09-26,3.0,Burnley,Southampton,1,854,9239,340,75,46385,10825,172,600,85.9,298,841,267,69.1,13737,43.9,4824,3688,69.6,15562,10825,923,292,10755,389,20946,82192,1012,1002,71,471,36,28,84.5,6058,5117,17.53,3.26,10.03,10,196816,19392,699,4684,19389,9081,713,12535,517,126,66172,14928,177,507,61.0,236,569,294,38.4,17388,43.1,6690,5629,77.4,19288,14928,894,261,14818,626,33536,85450,1195,1190,63,513,47,42,87.6,8659,7587,19.16,4.13,11.0,16,239028,23607,698,4756,23601,11566,0.32545931758530183,0.37559808612440193,1.7480314960629921,1.7416267942583732,0.04210412382292456,0.049940167530913446,Away Win,0.0,1.0,-0.8700000000000001,-1.629999999999999,1,0,0,1,0,0
2020-2021_GW3_SheffieldU_vs_LeedsUnite,2020-2021,2020-09-27,3.0,Sheffield Utd,Leeds United,1,798,10178,398,104,54344,12146,170,578,91.8,281,817,253,64.5,14542,45.0,5303,4331,74.7,16264,12146,946,253,12037,491,27029,78589,1196,1183,48,435,29,27,87.0,6905,6006,14.92,2.42,8.39,13,207510,20351,615,5537,20347,8599,605,14066,491,158,80443,16284,229,477,32.2,298,319,394,19.1,18658,54.1,8308,7130,78.9,20629,16284,1110,349,16154,811,44866,99274,1633,1625,73,701,63,45,87.9,7933,6970,24.32,5.08,13.63,27,286488,24873,880,5695,24869,10345,0.2884012539184953,0.37258687258687256,1.7774294670846396,1.7837837837837838,0.04824130477500491,0.05765676098393289,Away Win,0.0,1.0,-2.66,-9.4,0,1,0,1,0,0
2020-2021_GW3_Tottenham_vs_NewcastleU,2020-2021,2020-09-27,3.0,Tottenham,Newcastle Utd,1,647,13842,506,152,73058,16508,168,590,35.6,264,408,316,38.6,18738,52.1,7603,6561,80.2,20571,16508,1035,257,16404,633,37183,94098,1330,1316,55,553,49,56,88.4,8828,7801,20.68,4.39,11.53,28,274912,24670,700,4997,24665,11935,655,9605,376,114,51309,10839,161,645,70.4,338,671,289,52.8,12864,48.2,5131,4197,73.7,14709,10839,739,207,10730,467,24707,77098,903,888,85,454,36,51,85.7,5635,4828,18.11,3.42,10.26,12,197161,18774,552,3941,18767,7894,0.3812785388127854,0.3333333333333333,1.7945205479452055,1.764102564102564,0.045730385782401385,0.04862051015096304,Draw,1.0,1.0,0.9699999999999998,2.5700000000000003,1,0,0,1,0,0
2020-2021_GW3_Manchester_vs_LeicesterC,2020-2021,2020-09-27,3.0,Manchester City,Leicester City,1,417,20039,863,340,106424,23819,247,333,41.1,168,271,433,20.2,25546,67.7,10628,9673,87.7,27167,23819,1772,412,23640,1096,59443,110951,2051,2033,61,801,57,90,93.1,12409,11548,28.08,5.55,15.53,38,390212,30700,1196,8504,30691,15960,590,13991,481,141,72245,17014,212,484,43.8,210,425,360,32.1,19423,53.4,8113,7010,80.2,21216,17014,1209,283,16883,666,37072,94092,1464,1455,49,635,46,56,87.9,8978,7893,22.71,4.47,12.45,35,285395,25366,772,5675,25354,11997,0.3576271186440678,0.3594080338266385,1.8084745762711865,1.824524312896406,0.05469334797145566,0.04760202987634908,Away Win,2.0,5.0,1.08,5.369999999999997,0,0,1,1,0,0
2020-2021_GW3_WestHam_vs_Wolves,2020-2021,2020-09-27,3.0,West Ham,Wolves,1,677,10964,455,152,63242,12725,167,565,74.3,296,648,340,54.9,15140,51.4,6052,4948,75.3,16901,12725,1037,238,12609,659,30419,88791,1282,1264,92,576,56,37,85.8,6864,5888,21.66,4.16,12.21,15,225666,20812,761,5062,20808,9343,596,13271,566,177,72782,15548,208,577,54.2,275,389,345,43.1,17437,59.2,7342,6320,80.9,19225,15548,1117,213,15405,800,38571,93014,1283,1266,74,572,47,68,89.7,7796,6990,21.61,3.92,12.08,20,275061,23262,695,5207,23258,11021,0.34051724137931033,0.32461873638344224,1.7737068965517242,1.7886710239651415,0.06010580080262678,0.06028181749679753,Home Win,4.0,0.0,0.2400000000000002,0.05000000000000071,1,0,0,1,0,0
2020-2021_GW3_Fulham_vs_AstonVilla,2020-2021,2020-09-28,3.0,Fulham,Aston Villa,1,625,13406,525,156,74278,15401,164,518,55.0,258,402,334,32.5,17703,53.3,7611,6528,78.9,19512,15401,1019,290,15290,727,37380,94395,1354,1338,65,579,35,53,87.4,7837,6853,20.66,3.29,11.47,17,270640,23810,728,5567,23804,10438,665,11290,463,226,60377,12940,213,613,64.1,256,639,403,45.0,15004,51.1,6209,5222,76.1,16998,12940,1086,323,12834,629,30666,93019,1420,1403,91,670,47,63,86.1,6656,5731,24.74,4.68,13.53,12,235952,21115,947,5759,21109,8614,0.286697247706422,0.3463035019455253,1.8004587155963303,1.828793774319066,0.05422944950022378,0.055713020372010626,Away Win,0.0,3.0,-1.3899999999999997,-4.079999999999998,0,1,0,1,0,0
2020-2021_GW3_Liverpool_vs_Arsenal,2020-2021,2020-09-28,3.0,Liverpool,Arsenal,1,572,19103,754,249,96220,21929,257,403,26.8,209,237,455,16.4,24396,57.8,9940,8747,83.6,26226,21929,1608,524,21796,886,50778,115400,2057,2041,71,818,61,58,91.0,11862,10789,28.11,5.37,15.84,44,360990,30073,1211,8242,30067,14867,594,15532,499,195,83176,18041,207,518,55.5,238,303,332,16.7,20122,55.4,8814,7770,82.7,21807,18041,1377,325,17924,758,45081,93540,1760,1748,44,623,45,49,90.1,9236,8319,21.39,3.68,11.92,34,306094,25431,910,6240,25425,11384,0.3388704318936877,0.3090507726269316,1.7740863787375416,1.794701986754967,0.0463801497147045,0.04880247231522019,Home Win,3.0,1.0,1.69,6.719999999999999,0,0,1,1,0,0
2020-2021_GW4_Chelsea_vs_CrystalPal,2020-2021,2020-10-03,4.0,Chelsea,Crystal Palace,1,515,17523,663,243,90661,21969,226,412,27.7,231,253,448,17.7,24055,61.7,9976,8965,85.2,25799,21969,1441,377,21851,895,48291,112392,1798,1787,81,790,55,42,91.3,11454,10454,26.79,5.08,14.37,29,360450,29889,1017,7308,29879,13917,658,10227,388,151,56545,11627,151,622,84.8,323,669,264,51.0,13707,46.2,5088,4127,74.5,15597,11627,838,232,11525,526,26885,81274,1132,1113,54,433,23,52,85.6,6882,5889,16.26,3.34,9.08,8,193706,19798,653,4410,19794,8697,0.3534798534798535,0.3681159420289855,1.8644688644688645,1.791304347826087,0.051075729041830734,0.05143248264398162,Home Win,4.0,0.0,1.7400000000000002,10.529999999999998,0,0,1,1,0,0
2020-2021_GW4_Everton_vs_Brighton,2020-2021,2020-10-03,4.0,Everton,Brighton,1,486,12603,443,105,70612,14792,167,560,63.5,271,692,300,47.6,17021,54.0,7073,6125,79.1,18696,14792,944,257,14706,604,36337,93921,1184,1177,67,514,43,34,88.2,7438,6563,18.68,3.76,10.39,28,263227,22845,643,4585,22840,10258,574,13491,468,131,73653,15772,219,476,47.6,233,522,358,32.1,18111,54.7,7960,6893,79.4,19871,15772,1132,358,15634,685,37608,95248,1516,1495,75,628,55,34,87.5,7654,6694,22.29,3.53,12.58,17,283213,23756,885,5828,23747,10231,0.3620253164556962,0.2803347280334728,1.7974683544303798,1.7719665271966527,0.047925097199079586,0.05077459046771922,Home Win,4.0,2.0,0.22999999999999998,-3.6099999999999994,1,0,0,1,0,0
2020-2021_GW4_LeedsUnite_vs_Manchester,2020-2021,2020-10-03,4.0,Leeds United,Manchester City,1,605,14066,491,158,80443,16284,229,477,32.2,298,319,394,19.1,18658,54.1,8308,7130,78.9,20629,16284,1110,349,16154,811,44866,99274,1633,1625,73,701,63,45,87.9,7933,6970,24.32,5.08,13.63,27,286488,24873,880,5695,24869,10345,417,20039,863,340,106424,23819,247,333,41.1,168,271,433,20.2,25546,67.7,10628,9673,87.7,27167,23819,1772,412,23640,1096,59443,110951,2051,2033,61,801,57,90,93.1,12409,11548,28.08,5.55,15.53,38,390212,30700,1196,8504,30691,15960,0.37258687258687256,0.3576271186440678,1.7837837837837838,1.8084745762711865,0.05765676098393289,0.05469334797145566,Draw,1.0,1.0,-0.46999999999999975,-3.759999999999998,1,0,0,0,0,1
2020-2021_GW4_NewcastleU_vs_Burnley,2020-2021,2020-10-03,4.0,Newcastle Utd,Burnley,1,655,9605,376,114,51309,10839,161,645,70.4,338,671,289,52.8,12864,48.2,5131,4197,73.7,14709,10839,739,207,10730,467,24707,77098,903,888,85,454,36,51,85.7,5635,4828,18.11,3.42,10.26,12,197161,18774,552,3941,18767,7894,854,9239,340,75,46385,10825,172,600,85.9,298,841,267,69.1,13737,43.9,4824,3688,69.6,15562,10825,923,292,10755,389,20946,82192,1012,1002,71,471,36,28,84.5,6058,5117,17.53,3.26,10.03,10,196816,19392,699,4684,19389,9081,0.3333333333333333,0.32545931758530183,1.764102564102564,1.7480314960629921,0.04862051015096304,0.04210412382292456,Home Win,3.0,1.0,0.16000000000000014,0.5799999999999983,1,0,0,1,0,0
2020-2021_GW4_LeicesterC_vs_WestHam,2020-2021,2020-10-04,4.0,Leicester City,West Ham,1,590,13991,481,141,72245,17014,212,484,43.8,210,425,360,32.1,19423,53.4,8113,7010,80.2,21216,17014,1209,283,16883,666,37072,94092,1464,1455,49,635,46,56,87.9,8978,7893,22.71,4.47,12.45,35,285395,25366,772,5675,25354,11997,677,10964,455,152,63242,12725,167,565,74.3,296,648,340,54.9,15140,51.4,6052,4948,75.3,16901,12725,1037,238,12609,659,30419,88791,1282,1264,92,576,56,37,85.8,6864,5888,21.66,4.16,12.21,15,225666,20812,761,5062,20808,9343,0.3594080338266385,0.34051724137931033,1.824524312896406,1.7737068965517242,0.04760202987634908,0.06010580080262678,Away Win,0.0,3.0,0.3099999999999996,1.0500000000000007,1,0,0,1,0,0
2020-2021_GW4_Southampto_vs_WestBrom,2020-2021,2020-10-04,4.0,Southampton,West Brom,1,713,12535,517,126,66172,14928,177,507,61.0,236,569,294,38.4,17388,43.1,6690,5629,77.4,19288,14928,894,261,14818,626,33536,85450,1195,1190,63,513,47,42,87.6,8659,7587,19.16,4.13,11.0,16,239028,23607,698,4756,23601,11566,771,8262,283,103,44784,9769,144,670,86.7,308,916,241,63.7,12147,43.5,4783,3696,69.9,13978,9769,822,196,9668,441,21527,75746,1027,1017,60,407,27,26,83.7,5278,4418,14.95,2.79,8.82,13,177501,18248,578,4238,18243,7517,0.37559808612440193,0.3164179104477612,1.7416267942583732,1.6955223880597015,0.049940167530913446,0.05337690631808279,Home Win,2.0,0.0,1.3399999999999999,4.210000000000001,1,0,0,0,1,0
2020-2021_GW4_Arsenal_vs_SheffieldU,2020-2021,2020-10-04,4.0,Arsenal,Sheffield Utd,1,594,15532,499,195,83176,18041,207,518,55.5,238,303,332,16.7,20122,55.4,8814,7770,82.7,21807,18041,1377,325,17924,758,45081,93540,1760,1748,44,623,45,49,90.1,9236,8319,21.39,3.68,11.92,34,306094,25431,910,6240,25425,11384,798,10178,398,104,54344,12146,170,578,91.8,281,817,253,64.5,14542,45.0,5303,4331,74.7,16264,12146,946,253,12037,491,27029,78589,1196,1183,48,435,29,27,87.0,6905,6006,14.92,2.42,8.39,13,207510,20351,615,5537,20347,8599,0.3090507726269316,0.2884012539184953,1.794701986754967,1.7774294670846396,0.04880247231522019,0.04824130477500491,Home Win,2.0,1.0,1.2600000000000002,6.470000000000001,1,0,0,0,1,0
2020-2021_GW4_Wolves_vs_Fulham,2020-2021,2020-10-04,4.0,Wolves,Fulham,1,596,13271,566,177,72782,15548,208,577,54.2,275,389,345,43.1,17437,59.2,7342,6320,80.9,19225,15548,1117,213,15405,800,38571,93014,1283,1266,74,572,47,68,89.7,7796,6990,21.61,3.92,12.08,20,275061,23262,695,5207,23258,11021,625,13406,525,156,74278,15401,164,518,55.0,258,402,334,32.5,17703,53.3,7611,6528,78.9,19512,15401,1019,290,15290,727,37380,94395,1354,1338,65,579,35,53,87.4,7837,6853,20.66,3.29,11.47,17,270640,23810,728,5567,23804,10438,0.32461873638344224,0.286697247706422,1.7886710239651415,1.8004587155963303,0.06028181749679753,0.05422944950022378,Home Win,1.0,0.0,0.6299999999999999,0.9499999999999993,1,0,0,0,1,0
2020-2021_GW4_Manchester_vs_Tottenham,2020-2021,2020-10-04,4.0,Manchester Utd,Tottenham,1,413,15481,666,201,88886,18800,197,479,31.6,266,266,414,28.1,20810,61.8,8255,7258,83.1,22624,18800,1419,377,18671,877,47495,100811,1832,1817,73,720,58,46,90.1,10259,9248,25.08,5.16,13.55,34,310438,26617,921,7323,26606,11950,647,13842,506,152,73058,16508,168,590,35.6,264,408,316,38.6,18738,52.1,7603,6561,80.2,20571,16508,1035,257,16404,633,37183,94098,1330,1316,55,553,49,56,88.4,8828,7801,20.68,4.39,11.53,28,274912,24670,700,4997,24665,11935,0.38058252427184464,0.3812785388127854,1.850485436893204,1.7945205479452055,0.056650087203669014,0.045730385782401385,Away Win,1.0,6.0,0.7700000000000005,4.399999999999999,0,0,1,1,0,0
2020-2021_GW4_AstonVilla_vs_Liverpool,2020-2021,2020-10-04,4.0,Aston Villa,Liverpool,1,665,11290,463,226,60377,12940,213,613,64.1,256,639,403,45.0,15004,51.1,6209,5222,76.1,16998,12940,1086,323,12834,629,30666,93019,1420,1403,91,670,47,63,86.1,6656,5731,24.74,4.68,13.53,12,235952,21115,947,5759,21109,8614,572,19103,754,249,96220,21929,257,403,26.8,209,237,455,16.4,24396,57.8,9940,8747,83.6,26226,21929,1608,524,21796,886,50778,115400,2057,2041,71,818,61,58,91.0,11862,10789,28.11,5.37,15.84,44,360990,30073,1211,8242,30067,14867,0.3463035019455253,0.3388704318936877,1.828793774319066,1.7740863787375416,0.055713020372010626,0.0463801497147045,Home Win,7.0,2.0,-0.6900000000000004,-3.370000000000001,1,0,0,0,0,1
2020-2021_GW5_Everton_vs_Liverpool,2020-2021,2020-10-17,5.0,Everton,Liverpool,1,486,12603,443,105,70612,14792,167,560,63.5,271,692,300,47.6,17021,54.0,7073,6125,79.1,18696,14792,944,257,14706,604,36337,93921,1184,1177,67,514,43,34,88.2,7438,6563,18.68,3.76,10.39,28,263227,22845,643,4585,22840,10258,572,19103,754,249,96220,21929,257,403,26.8,209,237,455,16.4,24396,57.8,9940,8747,83.6,26226,21929,1608,524,21796,886,50778,115400,2057,2041,71,818,61,58,91.0,11862,10789,28.11,5.37,15.84,44,360990,30073,1211,8242,30067,14867,0.3620253164556962,0.3388704318936877,1.7974683544303798,1.7740863787375416,0.047925097199079586,0.0463801497147045,Draw,2.0,2.0,-1.6100000000000003,-9.43,1,0,0,0,0,1
2020-2021_GW5_Chelsea_vs_Southampto,2020-2021,2020-10-17,5.0,Chelsea,Southampton,1,515,17523,663,243,90661,21969,226,412,27.7,231,253,448,17.7,24055,61.7,9976,8965,85.2,25799,21969,1441,377,21851,895,48291,112392,1798,1787,81,790,55,42,91.3,11454,10454,26.79,5.08,14.37,29,360450,29889,1017,7308,29879,13917,713,12535,517,126,66172,14928,177,507,61.0,236,569,294,38.4,17388,43.1,6690,5629,77.4,19288,14928,894,261,14818,626,33536,85450,1195,1190,63,513,47,42,87.6,8659,7587,19.16,4.13,11.0,16,239028,23607,698,4756,23601,11566,0.3534798534798535,0.37559808612440193,1.8644688644688645,1.7416267942583732,0.051075729041830734,0.049940167530913446,Draw,3.0,3.0,0.9500000000000002,7.629999999999999,0,0,1,1,0,0
2020-2021_GW5_Manchester_vs_Arsenal,2020-2021,2020-10-17,5.0,Manchester City,Arsenal,1,417,20039,863,340,106424,23819,247,333,41.1,168,271,433,20.2,25546,67.7,10628,9673,87.7,27167,23819,1772,412,23640,1096,59443,110951,2051,2033,61,801,57,90,93.1,12409,11548,28.08,5.55,15.53,38,390212,30700,1196,8504,30691,15960,594,15532,499,195,83176,18041,207,518,55.5,238,303,332,16.7,20122,55.4,8814,7770,82.7,21807,18041,1377,325,17924,758,45081,93540,1760,1748,44,623,45,49,90.1,9236,8319,21.39,3.68,11.92,34,306094,25431,910,6240,25425,11384,0.3576271186440678,0.3090507726269316,1.8084745762711865,1.794701986754967,0.05469334797145566,0.04880247231522019,Home Win,1.0,0.0,1.8699999999999997,6.689999999999998,0,0,1,1,0,0
2020-2021_GW5_NewcastleU_vs_Manchester,2020-2021,2020-10-17,5.0,Newcastle Utd,Manchester Utd,1,655,9605,376,114,51309,10839,161,645,70.4,338,671,289,52.8,12864,48.2,5131,4197,73.7,14709,10839,739,207,10730,467,24707,77098,903,888,85,454,36,51,85.7,5635,4828,18.11,3.42,10.26,12,197161,18774,552,3941,18767,7894,413,15481,666,201,88886,18800,197,479,31.6,266,266,414,28.1,20810,61.8,8255,7258,83.1,22624,18800,1419,377,18671,877,47495,100811,1832,1817,73,720,58,46,90.1,10259,9248,25.08,5.16,13.55,34,310438,26617,921,7323,26606,11950,0.3333333333333333,0.38058252427184464,1.764102564102564,1.850485436893204,0.04862051015096304,0.056650087203669014,Away Win,1.0,4.0,-1.7400000000000002,-6.969999999999999,1,0,0,0,0,1
2020-2021_GW5_SheffieldU_vs_Fulham,2020-2021,2020-10-18,5.0,Sheffield Utd,Fulham,1,798,10178,398,104,54344,12146,170,578,91.8,281,817,253,64.5,14542,45.0,5303,4331,74.7,16264,12146,946,253,12037,491,27029,78589,1196,1183,48,435,29,27,87.0,6905,6006,14.92,2.42,8.39,13,207510,20351,615,5537,20347,8599,625,13406,525,156,74278,15401,164,518,55.0,258,402,334,32.5,17703,53.3,7611,6528,78.9,19512,15401,1019,290,15290,727,37380,94395,1354,1338,65,579,35,53,87.4,7837,6853,20.66,3.29,11.47,17,270640,23810,728,5567,23804,10438,0.2884012539184953,0.286697247706422,1.7774294670846396,1.8004587155963303,0.04824130477500491,0.05422944950022378,Draw,1.0,1.0,-0.8700000000000001,-5.74,0,1,0,0,1,0
2020-2021_GW5_CrystalPal_vs_Brighton,2020-2021,2020-10-18,5.0,Crystal Palace,Brighton,1,658,10227,388,151,56545,11627,151,622,84.8,323,669,264,51.0,13707,46.2,5088,4127,74.5,15597,11627,838,232,11525,526,26885,81274,1132,1113,54,433,23,52,85.6,6882,5889,16.26,3.34,9.08,8,193706,19798,653,4410,19794,8697,574,13491,468,131,73653,15772,219,476,47.6,233,522,358,32.1,18111,54.7,7960,6893,79.4,19871,15772,1132,358,15634,685,37608,95248,1516,1495,75,628,55,34,87.5,7654,6694,22.29,3.53,12.58,17,283213,23756,885,5828,23747,10231,0.3681159420289855,0.2803347280334728,1.791304347826087,1.7719665271966527,0.05143248264398162,0.05077459046771922,Draw,1.0,1.0,-0.18999999999999995,-6.029999999999998,1,0,0,1,0,0
2020-2021_GW5_Tottenham_vs_WestHam,2020-2021,2020-10-18,5.0,Tottenham,West Ham,1,647,13842,506,152,73058,16508,168,590,35.6,264,408,316,38.6,18738,52.1,7603,6561,80.2,20571,16508,1035,257,16404,633,37183,94098,1330,1316,55,553,49,56,88.4,8828,7801,20.68,4.39,11.53,28,274912,24670,700,4997,24665,11935,677,10964,455,152,63242,12725,167,565,74.3,296,648,340,54.9,15140,51.4,6052,4948,75.3,16901,12725,1037,238,12609,659,30419,88791,1282,1264,92,576,56,37,85.8,6864,5888,21.66,4.16,12.21,15,225666,20812,761,5062,20808,9343,0.3812785388127854,0.34051724137931033,1.7945205479452055,1.7737068965517242,0.045730385782401385,0.06010580080262678,Draw,3.0,3.0,0.22999999999999954,-0.9800000000000004,1,0,0,1,0,0
2020-2021_GW5_LeicesterC_vs_AstonVilla,2020-2021,2020-10-18,5.0,Leicester City,Aston Villa,1,590,13991,481,141,72245,17014,212,484,43.8,210,425,360,32.1,19423,53.4,8113,7010,80.2,21216,17014,1209,283,16883,666,37072,94092,1464,1455,49,635,46,56,87.9,8978,7893,22.71,4.47,12.45,35,285395,25366,772,5675,25354,11997,665,11290,463,226,60377,12940,213,613,64.1,256,639,403,45.0,15004,51.1,6209,5222,76.1,16998,12940,1086,323,12834,629,30666,93019,1420,1403,91,670,47,63,86.1,6656,5731,24.74,4.68,13.53,12,235952,21115,947,5759,21109,8614,0.3594080338266385,0.3463035019455253,1.824524312896406,1.828793774319066,0.04760202987634908,0.055713020372010626,Away Win,0.0,1.0,-0.20999999999999996,-2.0299999999999976,1,0,0,1,0,0
2020-2021_GW5_WestBrom_vs_Burnley,2020-2021,2020-10-19,5.0,West Brom,Burnley,1,771,8262,283,103,44784,9769,144,670,86.7,308,916,241,63.7,12147,43.5,4783,3696,69.9,13978,9769,822,196,9668,441,21527,75746,1027,1017,60,407,27,26,83.7,5278,4418,14.95,2.79,8.82,13,177501,18248,578,4238,18243,7517,854,9239,340,75,46385,10825,172,600,85.9,298,841,267,69.1,13737,43.9,4824,3688,69.6,15562,10825,923,292,10755,389,20946,82192,1012,1002,71,471,36,28,84.5,6058,5117,17.53,3.26,10.03,10,196816,19392,699,4684,19389,9081,0.3164179104477612,0.32545931758530183,1.6955223880597015,1.7480314960629921,0.05337690631808279,0.04210412382292456,Draw,0.0,0.0,-0.46999999999999975,-2.580000000000002,0,1,0,1,0,0
2020-2021_GW5_LeedsUnite_vs_Wolves,2020-2021,2020-10-19,5.0,Leeds United,Wolves,1,605,14066,491,158,80443,16284,229,477,32.2,298,319,394,19.1,18658,54.1,8308,7130,78.9,20629,16284,1110,349,16154,811,44866,99274,1633,1625,73,701,63,45,87.9,7933,6970,24.32,5.08,13.63,27,286488,24873,880,5695,24869,10345,596,13271,566,177,72782,15548,208,577,54.2,275,389,345,43.1,17437,59.2,7342,6320,80.9,19225,15548,1117,213,15405,800,38571,93014,1283,1266,74,572,47,68,89.7,7796,6990,21.61,3.92,12.08,20,275061,23262,695,5207,23258,11021,0.37258687258687256,0.32461873638344224,1.7837837837837838,1.7886710239651415,0.05765676098393289,0.06028181749679753,Away Win,0.0,1.0,1.1600000000000001,2.710000000000001,1,0,0,1,0,0
2020-2021_GW6_AstonVilla_vs_LeedsUnite,2020-2021,2020-10-23,6.0,Aston Villa,Leeds United,1,665,11290,463,226,60377,12940,213,613,64.1,256,639,403,45.0,15004,51.1,6209,5222,76.1,16998,12940,1086,323,12834,629,30666,93019,1420,1403,91,670,47,63,86.1,6656,5731,24.74,4.68,13.53,12,235952,21115,947,5759,21109,8614,605,14066,491,158,80443,16284,229,477,32.2,298,319,394,19.1,18658,54.1,8308,7130,78.9,20629,16284,1110,349,16154,811,44866,99274,1633,1625,73,701,63,45,87.9,7933,6970,24.32,5.08,13.63,27,286488,24873,880,5695,24869,10345,0.3463035019455253,0.37258687258687256,1.828793774319066,1.7837837837837838,0.055713020372010626,0.05765676098393289,Away Win,0.0,3.0,-0.40000000000000036,0.41999999999999815,1,0,0,1,0,0
2020-2021_GW6_WestHam_vs_Manchester,2020-2021,2020-10-24,6.0,West Ham,Manchester City,1,677,10964,455,152,63242,12725,167,565,74.3,296,648,340,54.9,15140,51.4,6052,4948,75.3,16901,12725,1037,238,12609,659,30419,88791,1282,1264,92,576,56,37,85.8,6864,5888,21.66,4.16,12.21,15,225666,20812,761,5062,20808,9343,417,20039,863,340,106424,23819,247,333,41.1,168,271,433,20.2,25546,67.7,10628,9673,87.7,27167,23819,1772,412,23640,1096,59443,110951,2051,2033,61,801,57,90,93.1,12409,11548,28.08,5.55,15.53,38,390212,30700,1196,8504,30691,15960,0.34051724137931033,0.3576271186440678,1.7737068965517242,1.8084745762711865,0.06010580080262678,0.05469334797145566,Draw,1.0,1.0,-1.3899999999999997,-6.419999999999998,1,0,0,0,0,1
2020-2021_GW6_Fulham_vs_CrystalPal,2020-2021,2020-10-24,6.0,Fulham,Crystal Palace,1,625,13406,525,156,74278,15401,164,518,55.0,258,402,334,32.5,17703,53.3,7611,6528,78.9,19512,15401,1019,290,15290,727,37380,94395,1354,1338,65,579,35,53,87.4,7837,6853,20.66,3.29,11.47,17,270640,23810,728,5567,23804,10438,658,10227,388,151,56545,11627,151,622,84.8,323,669,264,51.0,13707,46.2,5088,4127,74.5,15597,11627,838,232,11525,526,26885,81274,1132,1113,54,433,23,52,85.6,6882,5889,16.26,3.34,9.08,8,193706,19798,653,4410,19794,8697,0.286697247706422,0.3681159420289855,1.8004587155963303,1.791304347826087,0.05422944950022378,0.05143248264398162,Away Win,1.0,2.0,-0.04999999999999982,4.399999999999999,0,1,0,1,0,0
